source,target,id
0,1,0
44,132,255
26,130,245
21,131,251
77,139,292
34,130,248
30,130,246
6,8,7
7,8,8
9,8,9
22,135,276
28,137,283
21,135,275
8,10,13
8,11,14
8,16,15
8,34,16
8,17,17
25,130,244
45,135,278
39,135,277
18,135,274
37,133,257
28,135,284
17,135,273
28,136,282
42,132,256
45,131,254
24,15,28
66,77,289
24,29,30
28,134,285
28,24,286
13,135,272
66,112,288
34,134,269
22,131,252
43,138,290
33,134,268
39,131,253
51,112,287
38,134,270
77,138,291
31,134,267
36,130,250
23,139,293
27,134,266
140,141,294
141,77,297
26,134,265
23,134,264
1,134,263
28,134,262
142,77,296
38,30,54
143,77,298
35,130,249
144,77,299
29,130,261
31,130,247
40,43,60
145,77,300
29,131,260
145,112,301
29,132,259
146,112,302
29,133,258
46,45,67
47,45,68
48,45,69
49,45,70
51,25,71
51,19,72
51,14,80
52,14,79
52,30,78
53,50,81
53,19,82
47,19,1339
55,33,84
56,33,85
57,33,86
60,241,537
67,241,538
59,57,89
59,33,90
59,60,91
140,241,539
61,60,93
61,19,94
61,27,95
62,33,96
62,60,97
62,134,1320
47,60,372
66,19,100
67,11,101
68,140,1394
69,16,103
69,10,104
69,70,105
16,70,106
71,70,107
72,385,1352
72,60,109
73,10,110
73,74,111
60,74,112
10,74,113
42,136,279
22,76,115
34,76,116
77,76,117
78,76,118
79,76,119
80,77,120
80,22,121
81,22,122
81,14,123
81,3,124
82,22,125
82,23,126
83,23,127
83,22,128
83,77,129
84,77,130
84,34,131
84,22,132
299,35,988
86,77,134
86,23,135
86,22,136
86,87,137
88,77,138
88,22,139
88,14,140
89,22,141
89,23,142
89,90,143
89,91,144
92,93,145
92,77,146
92,34,147
92,94,148
95,96,149
95,97,150
95,87,151
95,22,152
95,99,153
100,77,154
100,22,155
100,23,156
101,22,157
101,34,158
101,77,159
102,77,160
102,22,161
102,23,162
103,22,163
103,14,164
103,77,165
103,22,166
104,22,167
104,34,168
104,106,169
104,107,170
108,107,171
108,106,172
108,34,173
108,22,174
109,22,175
109,34,176
110,22,177
111,22,178
111,14,179
111,77,180
111,112,181
113,77,182
113,34,183
113,22,184
114,22,185
114,34,186
114,77,187
119,22,201
120,22,202
120,14,203
120,77,204
121,77,205
121,22,206
122,22,207
118,77,198
118,23,199
118,22,200
122,23,208
122,123,209
122,124,210
125,77,211
125,22,212
125,34,213
15,126,214
15,127,215
15,128,216
15,129,217
10,126,227
11,126,226
16,126,225
19,126,224
30,126,223
14,126,228
13,127,229
50,127,230
17,127,231
5,127,232
22,127,233
26,126,234
291,385,983
9,128,236
2,128,237
3,128,238
20,128,239
40,128,240
4,128,241
39,127,242
291,134,982
44,136,280
3,136,281
146,140,303
146,147,304
9,147,305
148,140,306
69,140,307
52,140,309
63,140,310
68,140,311
73,140,326
73,123,327
151,140,314
55,140,315
152,140,316
152,43,317
67,140,318
153,140,319
154,140,320
155,140,321
57,140,322
56,140,323
155,112,324
64,140,325
156,1,328
156,140,329
157,140,330
158,140,331
158,112,332
159,140,333
160,140,334
8,140,335
53,140,336
161,140,337
140,163,341
112,161,339
140,162,340
140,164,342
140,165,343
112,166,344
112,166,345
112,167,346
112,168,347
169,170,348
169,171,349
169,35,350
169,123,351
169,172,352
291,34,984
128,282,981
174,175,355
176,172,356
177,172,357
178,172,358
178,171,359
178,140,360
178,36,361
178,35,362
177,35,363
176,35,364
174,35,365
179,35,366
179,172,367
180,172,368
180,171,369
181,172,370
182,172,371
47,161,374
72,183,375
72,147,376
72,17,377
72,10,378
72,184,379
183,184,380
147,184,381
17,184,382
19,184,383
140,184,384
140,72,385
140,183,386
77,183,387
147,183,388
23,183,389
10,183,390
19,183,391
17,185,392
8,185,393
158,185,394
60,185,395
60,186,396
163,186,397
140,186,398
171,174,980
292,385,985
292,126,986
60,189,402
188,189,403
190,191,404
60,191,405
60,192,406
190,192,407
193,194,408
60,194,409
60,195,410
193,195,411
196,197,412
60,197,413
198,197,414
198,196,415
60,199,416
60,200,417
60,201,418
60,202,419
60,203,420
204,199,421
204,200,422
204,201,423
204,202,424
204,203,425
204,204,426
204,205,427
199,205,428
200,205,429
201,205,430
202,205,431
203,205,432
204,205,433
206,207,434
206,208,435
206,209,436
206,210,437
206,211,438
206,212,439
207,212,440
207,211,441
207,210,442
207,209,443
207,208,444
60,208,445
60,209,446
60,210,447
60,211,448
60,212,449
213,214,450
213,215,451
213,216,452
60,216,453
60,215,454
60,218,455
60,219,456
60,220,457
60,221,458
60,222,459
217,222,460
217,221,461
217,220,462
217,219,463
217,218,464
217,214,465
16,223,473
217,216,467
217,218,468
217,219,469
217,220,470
217,221,471
217,222,472
19,223,474
50,223,475
60,223,476
140,223,477
53,223,478
60,224,479
57,224,480
33,224,481
140,224,482
140,225,483
278,225,653
60,225,485
126,225,654
33,226,487
55,226,488
60,226,489
140,226,490
45,226,491
45,47,492
140,47,493
70,60,494
70,140,495
61,45,496
61,134,1345
227,45,498
227,34,499
227,60,500
140,60,501
140,227,502
140,228,503
158,228,504
60,228,505
60,229,506
53,229,507
140,229,508
140,230,509
60,230,510
63,230,511
60,232,512
140,232,513
141,232,514
140,233,515
140,60,516
140,52,517
233,52,518
233,60,519
234,60,520
234,67,521
234,140,522
235,140,523
235,60,524
235,67,525
235,8,526
236,45,527
236,64,528
236,140,529
237,140,530
237,155,531
237,238,532
140,239,533
60,239,534
57,239,535
33,239,536
140,242,540
56,242,541
60,242,542
33,242,543
33,243,544
56,243,545
60,243,546
140,243,547
140,244,548
60,244,549
165,244,550
165,245,551
140,245,552
60,245,553
249,246,554
249,247,555
249,248,556
45,246,557
45,250,558
249,250,559
249,251,560
249,252,561
249,253,562
253,252,563
45,252,564
249,252,565
249,253,566
249,254,567
253,254,568
45,254,569
46,255,570
46,249,571
48,249,572
48,255,573
256,255,574
256,249,575
256,45,576
257,45,577
257,255,578
257,249,579
258,249,580
258,255,581
258,45,582
259,49,583
249,49,584
249,260,585
259,260,586
45,260,587
45,261,588
259,261,589
249,261,590
249,262,591
247,262,592
45,262,593
45,263,594
249,263,595
249,264,596
259,264,597
45,264,598
45,265,599
249,265,600
1,143,601
266,143,602
266,135,603
266,77,604
267,268,605
267,1,606
269,1,607
270,1,608
270,77,609
269,77,610
269,143,611
270,143,612
270,266,613
269,266,614
143,34,615
267,34,616
271,130,617
271,143,618
271,139,619
272,139,620
272,143,621
272,271,622
131,266,623
139,266,624
139,273,625
139,274,626
139,275,627
143,275,628
143,274,629
143,273,630
77,273,631
77,274,632
77,275,633
77,269,634
77,270,635
266,273,636
266,274,637
266,275,638
35,143,639
35,130,640
35,276,641
35,276,644
143,276,643
77,276,645
277,276,646
277,143,647
277,77,648
277,131,649
21,131,650
21,143,651
21,139,652
126,278,655
130,279,656
130,226,657
279,226,658
5,139,659
13,139,660
13,77,661
5,77,662
280,77,663
280,135,664
280,127,665
280,139,666
280,141,667
281,141,668
281,139,669
281,136,670
281,132,671
281,128,672
282,134,673
282,136,674
282,139,675
283,284,676
283,281,677
283,226,678
283,55,679
285,55,680
299,130,987
285,225,682
285,226,683
285,281,684
285,286,685
287,288,686
287,281,687
226,126,1275
225,55,1277
287,55,690
289,55,691
289,226,692
289,281,693
289,290,694
281,291,695
268,291,696
267,291,697
267,291,698
267,292,699
268,292,700
292,147,702
292,9,703
292,281,704
293,281,705
293,294,706
293,267,707
293,183,708
293,295,709
281,294,710
281,290,711
281,287,712
281,286,713
281,268,714
281,297,715
296,297,716
296,148,717
299,300,723
281,300,724
281,148,720
245,134,1326
296,245,722
281,299,725
281,181,726
281,177,727
299,177,728
181,135,1473
299,181,730
301,181,731
301,177,732
301,302,733
281,302,734
281,301,735
281,303,736
304,303,737
304,281,738
303,177,739
303,181,740
305,181,741
305,177,742
305,281,743
306,281,744
306,305,745
233,281,746
52,281,747
308,281,748
307,281,749
307,308,750
307,233,751
307,52,752
309,52,753
309,233,754
309,281,755
310,281,756
310,309,757
311,312,758
311,281,759
312,281,760
311,241,761
311,67,762
281,67,763
281,241,764
281,313,765
107,313,766
281,314,767
313,314,768
313,295,769
281,314,770
281,315,771
290,315,772
69,315,773
70,315,774
70,281,775
69,281,776
315,281,777
316,281,778
316,315,779
316,281,780
316,69,781
317,69,782
317,70,783
317,281,784
317,318,785
281,318,786
281,320,787
281,319,788
320,319,789
320,69,790
320,70,791
321,73,796
321,74,797
321,281,794
321,319,795
323,74,798
323,73,799
323,281,800
323,322,801
281,322,802
281,325,803
281,324,804
325,324,805
183,324,806
183,326,807
324,326,808
328,329,809
328,281,810
329,281,811
328,141,812
327,141,813
327,281,814
328,281,815
328,327,816
268,327,817
330,331,818
330,328,819
330,141,820
330,281,821
331,281,822
332,281,823
333,281,824
332,145,825
281,145,826
281,51,827
332,51,828
332,281,829
333,281,830
334,281,831
334,304,832
334,63,833
281,63,834
281,230,835
334,230,836
335,230,837
335,63,838
335,281,839
336,281,840
336,335,841
338,337,842
340,339,843
342,341,844
344,343,845
346,345,846
347,348,847
349,350,848
351,352,849
353,354,850
343,281,851
344,281,852
345,281,853
346,281,854
347,281,855
348,281,856
349,281,857
350,281,858
351,281,859
352,281,860
353,281,861
354,281,862
343,165,863
345,165,864
347,165,865
349,165,866
351,165,867
353,165,868
281,165,869
337,148,871
339,148,872
341,148,873
347,62,874
349,62,875
351,62,876
353,62,877
281,62,878
281,245,879
343,245,880
355,328,881
355,294,882
355,281,883
355,141,884
356,165,885
356,140,886
356,281,887
356,345,888
359,360,889
359,357,890
358,357,891
357,281,892
358,281,893
359,281,894
360,281,895
365,281,896
369,281,897
366,281,898
367,281,899
368,281,900
370,281,901
371,281,902
371,367,903
371,281,904
370,281,905
371,281,906
370,281,907
370,365,908
368,217,909
367,217,910
366,217,911
365,217,912
369,217,913
281,217,914
281,214,915
281,77,916
366,77,917
368,77,918
369,77,919
222,365,920
222,366,921
222,367,922
222,281,923
219,369,924
219,368,925
221,368,926
221,369,927
221,281,928
219,281,929
372,281,930
373,281,931
373,372,932
177,372,933
294,372,934
373,374,935
281,374,936
281,206,937
374,206,938
374,177,939
375,376,940
375,281,941
376,281,942
375,161,943
281,161,944
281,47,945
375,47,946
338,281,947
337,281,948
342,281,949
341,281,950
379,281,951
378,281,952
377,281,953
377,378,954
377,379,955
377,161,956
377,47,957
281,380,958
295,380,959
140,380,960
77,380,961
281,381,962
281,382,963
281,383,964
381,383,965
281,284,966
281,340,967
281,339,968
134,293,969
34,293,970
126,384,971
126,385,972
324,385,973
324,384,974
326,384,975
326,385,976
183,385,977
183,384,978
216,281,979
301,35,989
301,130,990
303,130,991
303,35,992
305,35,993
305,130,994
285,130,995
285,279,996
283,279,997
283,130,998
289,130,999
289,279,1000
345,385,1001
345,126,1002
307,126,1003
307,385,1004
307,30,1005
309,30,1006
309,126,1007
309,385,1008
311,385,1009
311,126,1010
311,11,1011
313,14,1012
313,126,1013
315,126,1014
315,130,1015
315,16,1016
320,16,1017
320,126,1018
320,130,1019
317,130,1020
317,126,1021
317,16,1022
386,126,1023
386,321,1024
126,321,1025
126,323,1026
386,323,1027
126,380,1028
14,380,1029
130,374,1030
35,374,1031
387,374,1032
387,372,1033
130,372,1034
35,372,1035
27,375,1036
19,375,1037
385,375,1038
134,375,1039
134,377,1040
385,377,1041
19,377,1042
27,377,1043
33,347,1044
134,347,1045
134,349,1046
134,351,1047
134,353,1048
134,343,1049
33,343,1050
33,349,1051
33,351,1052
33,353,1053
126,296,1054
384,296,1055
390,296,1056
126,288,1057
278,288,1058
126,381,1059
388,381,1060
385,381,1061
384,327,1062
389,327,1063
126,327,1064
126,330,1065
389,330,1066
25,332,1067
126,332,1068
126,334,1069
389,334,1070
279,334,1071
279,335,1072
389,335,1073
126,335,1074
126,337,1075
390,337,1076
390,339,1077
384,339,1078
126,339,1079
126,341,1080
390,341,1081
384,341,1082
389,355,1083
126,355,1084
126,357,1085
278,357,1086
126,365,1087
126,366,1088
126,367,1089
126,369,1090
126,368,1091
390,368,1092
390,367,1093
390,366,1094
390,365,1095
390,369,1096
389,391,1097
126,391,1098
213,391,1099
214,391,1100
216,391,1101
393,392,1102
394,392,1103
395,392,1104
172,396,1105
147,397,1106
140,397,1107
106,398,1108
107,398,1109
107,398,1110
106,398,1111
106,400,1112
107,400,1113
402,401,1114
112,401,1115
172,403,1116
404,403,1117
77,405,1118
124,406,1119
407,406,1120
8,408,1121
51,408,1122
52,408,1123
53,408,1124
55,408,1125
57,408,1126
63,408,1127
64,408,1128
183,408,1129
66,408,1130
67,408,1131
68,408,1132
69,408,1133
73,408,1134
139,408,1135
141,408,1136
142,408,1137
143,408,1138
144,408,1139
145,408,1140
146,408,1141
148,408,1142
156,408,1143
151,408,1144
152,408,1145
153,408,1146
154,408,1147
155,408,1148
406,408,1149
405,408,1150
403,408,1151
401,408,1152
400,408,1153
399,408,1154
398,408,1155
397,408,1156
396,408,1157
392,408,1158
157,408,1159
158,408,1160
159,408,1161
160,408,1162
161,408,1163
162,408,1164
163,408,1165
164,408,1166
165,408,1167
166,408,1168
167,408,1169
168,408,1170
169,408,1171
174,408,1172
176,408,1173
177,408,1174
178,408,1175
179,408,1176
180,408,1177
181,408,1178
182,408,1179
278,334,1180
278,335,1181
278,317,1182
278,320,1183
278,283,1184
278,289,1185
411,369,1186
411,368,1187
51,126,1188
51,11,1189
51,20,1190
51,401,1191
51,412,1192
51,413,1193
51,414,1194
51,415,1195
11,415,1196
19,415,1197
378,415,1198
378,414,1199
11,414,1200
19,414,1201
19,413,1202
19,412,1203
11,412,1204
11,413,1205
126,413,1206
126,412,1207
112,412,1208
112,413,1209
126,401,1210
11,401,1211
19,401,1212
145,416,1213
145,417,1214
145,418,1215
145,419,1216
145,126,1217
145,127,1218
145,135,1219
145,134,1220
25,145,1228
418,127,1222
418,135,1223
417,135,1224
417,127,1225
419,127,1226
419,135,1227
421,420,1229
421,408,1230
421,131,1231
420,131,1232
422,131,1233
423,131,1234
424,131,1235
423,135,1236
422,135,1237
422,131,1238
422,167,1239
423,167,1240
424,167,1241
127,167,1242
131,167,1243
135,167,1244
126,167,1245
19,167,1246
134,143,1247
131,143,1248
130,143,1249
126,143,1250
6,143,1251
7,143,1252
8,143,1253
16,143,1254
139,143,1255
279,143,1256
271,143,1257
282,143,1258
267,143,1259
295,143,1260
385,143,1261
156,143,1262
237,126,1263
237,388,1264
237,385,1265
235,385,1266
235,11,1267
235,45,1268
235,126,1269
236,126,1270
236,130,1271
236,279,1272
236,384,1273
236,385,1274
226,278,1276
186,130,1278
186,409,1279
225,281,1280
226,281,1281
233,126,1282
233,30,1283
233,385,1284
234,385,1285
234,25,1286
234,30,1287
67,385,1421
234,126,1289
241,126,1290
241,11,1291
241,385,1292
242,384,1293
242,134,1294
243,134,1295
243,384,1296
59,134,1297
59,140,1298
59,278,1299
239,278,1300
239,134,1301
74,126,1302
74,16,1303
74,140,1304
74,281,1305
74,386,1306
232,127,1307
232,385,1308
232,388,1309
232,384,1310
227,384,1311
227,385,1312
227,161,1313
227,134,1314
184,126,1315
184,60,1316
184,140,1317
184,384,1318
184,385,1319
62,140,1321
62,165,1322
244,126,1323
244,278,1324
244,390,1325
245,34,1327
230,63,1328
230,126,1329
230,278,1330
230,390,1331
229,385,1332
229,16,1333
229,19,1334
229,126,1335
228,126,1336
228,19,1337
228,16,1338
47,134,1340
47,385,1341
223,385,1342
223,126,1343
224,134,1344
61,385,1346
61,161,1347
61,112,1348
61,71,1349
70,126,1350
70,385,1351
72,126,1353
72,9,1354
72,384,1355
185,385,1356
185,9,1357
185,126,1358
185,16,1359
185,140,1360
47,71,1361
425,71,1362
425,19,1363
425,60,1364
425,112,1365
425,126,1366
425,140,1367
425,386,1368
425,73,1369
426,141,1370
426,153,1371
426,226,1372
426,131,1373
426,127,1374
17,183,1375
17,140,1376
426,140,1377
426,131,1378
426,127,1379
64,10,1380
64,14,1381
64,126,1382
64,130,1383
64,140,1384
64,384,1385
64,385,1386
64,389,1387
64,389,1388
68,11,1389
68,16,1390
68,30,1391
68,130,1392
68,126,1393
63,126,1395
63,409,1396
63,390,1397
63,384,1398
63,278,1399
52,126,1400
52,130,1401
52,140,1402
52,384,1403
52,385,1404
69,385,1405
69,384,1406
69,126,1407
148,126,1408
148,390,1409
148,384,1410
148,278,1411
146,19,1412
146,126,1413
138,130,1414
138,131,1415
138,408,1416
151,10,1417
151,126,1418
151,384,1419
151,385,1420
67,126,1422
67,134,1423
154,126,1424
154,10,1425
57,134,1426
156,134,1427
73,126,1428
73,16,1429
73,281,1430
158,126,1431
158,385,1432
158,10,1433
8,126,1434
8,127,1435
8,131,1436
8,134,1437
8,135,1438
8,385,1439
53,385,1440
53,126,1441
53,127,1442
161,126,1443
161,134,1444
161,19,1445
161,27,1446
161,385,1447
169,131,1448
169,135,1449
169,134,1450
169,130,1451
174,131,1452
174,135,1453
174,172,1454
176,131,1455
176,135,1456
177,135,1457
177,134,1458
177,130,1459
177,131,1460
178,130,1461
178,131,1462
178,134,1463
178,135,1464
179,135,1465
179,134,1466
179,130,1467
179,131,1468
180,131,1469
180,130,1470
180,134,1471
180,135,1472
181,134,1474
181,130,1475
181,131,1476
182,131,1477
182,130,1478
182,134,1479
182,135,1480
163,130,1481
164,130,1482
164,384,1483
165,384,1484
165,134,1485
165,33,1486